aptNm,buildYear,contractTerm,contractType,dealYear,dealMonth,dealDay,deposit,monthlyRent,preDeposit,preMonthlyRent,excluUseAr,floor,jibun,sggCd,umdNm,useRRRight
명륜동주상복합아남아파트,1999, , ,2025,1,20,"43,500",0, , ,50.49,2,237,11110,명륜2가, 
창신쌍용2,1993, , ,2025,1,22,"38,000",10, , ,79.87,9,703,11110,창신동, 
삼성,1998, , ,2025,1,10,"42,000",0, , ,59.97,9,596,11110,평창동, 
현대,2000, , ,2025,1,22,"40,000",20, , ,60,11,82,11110,무악동, 
인왕산아이파크,2008, , ,2025,1,18,"65,000",0, , ,84.858,12,60,11110,무악동, 
현대,2000, , ,2025,1,18,"53,000",0, , ,60,12,82,11110,무악동, 
창신쌍용2,1993, , ,2025,1,19,"38,000",0, , ,79.87,15,703,11110,창신동, 
인왕산아이파크,2008, , ,2025,1,14,"20,000",240, , ,84.858,10,60,11110,무악동, 
인왕산2차아이파크,2015, , ,2025,1,16,"59,800",0, , ,84.4924,2,88,11110,무악동, 
창신쌍용2,1993, , ,2025,1,4,"4,000",140, , ,54.7,12,703,11110,창신동, 
롯데캐슬,2008, , ,2025,1,18,"61,000",0, , ,84.89,20,2545,11140,황학동, 
힐스테이트남산,2024, , ,2025,1,31,"44,000",0, , ,29.17,3,35,11140,묵정동, 
신당파인힐하나유보라,2019, , ,2025,1,21,"10,280",96, , ,59.0613,9,855,11140,신당동, 
롯데캐슬,2008, , ,2025,1,18,"5,000",180, , ,59.91,9,2545,11140,황학동, 
롯데캐슬,2008, , ,2025,1,13,"63,000",0, , ,84.92,29,2545,11140,황학동, 
한스아파트B,2012,25.02~27.02,신규,2025,1,24,"12,000",15, , ,18.9,4,340-45,11140,신당동, 
동대문솔하임,2016,25.02~26.02,신규,2025,1,14,"1,000",90, , ,19.6,18,8,11140,흥인동, 
남산타운,2002,25.01~27.01,갱신,2025,1,3,"90,000",0,"90,000", ,84.88,15,844,11140,신당동, 
남산센트럴자이,2009,25.07~27.07,갱신,2025,1,1,"105,000",0,"100,000", ,135.533,30,306,11140,충무로4가,사용
힐스테이트세운센트럴1단지,2023,25.03~27.03,신규,2025,1,10,"15,000",163, , ,49.7135,18,277,11140,입정동, 
산호,1977, , ,2025,1,11,"4,000",80, , ,40.46,9,118-16,11170,원효로4가, 
강촌,1998, , ,2025,1,18,"5,000",210, , ,59.12,3,402,11170,이촌동, 
신동아1,1992, , ,2025,1,15,"43,700",0, , ,84.93,1,448,11170,보광동, 
북한강(성원),2001, , ,2025,1,11,"36,750",0, , ,59.55,1,422,11170,이촌동, 
용산e편한세상,2011, , ,2025,1,16,"30,000",105, , ,59.66,10,48,11170,신계동, 
강촌,1998, , ,2025,1,4,"60,000",0, , ,59.12,12,402,11170,이촌동, 
리버탑,2001, , ,2025,1,20,"55,000",0, , ,59.57,2,802,11170,한남동, 
삼성래미안,2001, , ,2025,1,18,"46,700",0, , ,59.94,19,23,11170,도원동, 
삼성래미안,2001, , ,2025,1,20,"42,000",0, , ,59.94,3,23,11170,도원동, 
CJ나인파크,2007, , ,2025,1,18,"60,000",95, , ,97.24,6,24-6,11170,문배동, 
신동아,1996, , ,2025,1,10,"52,000",0, , ,84.81,14,275,11200,응봉동, 
센트라스,2016, , ,2025,1,23,"75,000",0, , ,59.94,6,1070,11200,하왕십리동, 
옥수파크힐스101동~116동,2016, , ,2025,1,12,"89,000",0, , ,59.78,7,528,11200,옥수동, 
서울숲푸르지오,2007, , ,2025,1,4,"70,000",160, , ,114.55,11,340,11200,금호동4가, 
한진타운,1994, , ,2025,1,15,"20,000",100, , ,59.4,6,704,11200,성수동1가, 
두산,1997, , ,2025,1,10,"25,000",100, , ,59.94,5,345,11200,행당동, 
왕십리자이,2017, , ,2025,1,18,"27,000",150, , ,59.99,7,1071,11200,하왕십리동, 
서울숲힐스테이트,2009, , ,2025,1,18,"40,000",190, , ,57.46,11,843,11200,성수동2가, 
서울숲 한신 더 휴,2003, , ,2025,1,11,"42,500",80, , ,84.95,11,349,11200,행당동, 
트리마제,2017, , ,2025,1,6,"10,000",348, , ,49.6683,15,718,11200,성수동1가, 
e편한세상광진그랜드파크,2021, , ,2025,1,20,"95,000",0, , ,84.9794,5,680,11215,구의동, 
우성2,1989,25.03~27.03,신규,2025,1,25,"40,000",0, , ,64.79,6,520-2,11215,자양동, 
e편한세상광진그랜드파크,2021,25.02~27.02,갱신,2025,1,18,"80,000",17,"80,000", ,84.9716,1,680,11215,구의동,사용
이튼타워리버2차,2006,25.01~27.01,갱신,2025,1,7,"7,000",230,"5,000",250,84.61,16,507-6,11215,자양동, 
타워캐슬,2012,25.01~27.01,갱신,2025,1,3,"2,000",46,"2,000",44,12.37,5,698,11215,중곡동, 
화양타워,1999,25.01~27.01,신규,2025,1,21,200,45, , ,13.65,2,110-37,11215,화양동, 
어울채,2024,~27.04,신규,2025,1,20,"8,861",25, , ,23.09,15,680-63,11215,자양동, 
어울채,2024,~27.04,신규,2025,1,22,"16,396",45, , ,39.02,19,680-63,11215,자양동, 
구의현대6단지,1994,25.03~27.03,갱신,2025,1,31,"60,000",0,"53,000", ,84.92,5,610,11215,구의동, 
어울채,2024,~27.04,신규,2025,1,22,"16,396",45, , ,39.02,24,680-63,11215,자양동, 
래미안엘리니티,2022, , ,2025,1,21,"10,000",290, , ,84.92,10,796,11230,용두동, 
전농우성,1992, , ,2025,1,14,"36,000",0, , ,59.78,11,6,11230,전농동, 
장안힐스테이트,2007, , ,2025,1,15,"5,000",110, , ,59.539,11,329-2,11230,장안동, 
답십리파크자이,2019, , ,2025,1,25,"10,000",200, , ,59.91,7,1014,11230,답십리동, 
회기역하트리움역세권청년주택,2023, , ,2025,1,5,"9,500",19, , ,15.8871,21,380,11230,휘경동, 
회기역하트리움역세권청년주택,2023, , ,2025,1,21,"9,500",19, , ,15.8871,21,380,11230,휘경동, 
힐스테이트청계,2018, , ,2025,1,4,"42,000",0, , ,48.98,3,1009,11230,답십리동, 
신설동역자이르네,2024, , ,2025,1,22,"28,000",70, , ,45.943,10,96-48,11230,신설동, 
래미안장안2차,2007, , ,2025,1,17,"49,000",0, , ,81.05,11,329-3,11230,장안동, 
힐스테이트청계,2018, , ,2025,1,4,"63,000",0, , ,59.81,11,1009,11230,답십리동, 
신내6대주,1996, , ,2025,1,16,"2,000",66, , ,39.84,4,650,11260,신내동, 
면목한신,1987, , ,2025,1,20,"1,000",44, , ,27,2,193-1,11260,면목동, 
쌍용더플래티넘용마산,2020, , ,2025,1,21,"63,500",0, , ,75.058,5,1548,11260,면목동, 
현대,1994, , ,2025,1,24,"40,000",0, , ,74.79,3,1502,11260,면목동, 
신내6대주,1996, , ,2025,1,8,"10,000",60, , ,49.77,11,650,11260,신내동, 
용마한신2,1998, , ,2025,1,10,"31,300",0, , ,59.94,16,1073,11260,면목동, 
신내11대명,1996, , ,2025,1,11,"20,000",0, , ,39.76,8,661,11260,신내동, 
영풍마드레빌,2004, , ,2025,1,11,"46,000",0, , ,84.8485,6,801,11260,신내동, 
사가정센트럴아이파크,2020, , ,2025,1,8,"62,000",0, , ,59.78,23,1545,11260,면목동, 
건영1,1997, , ,2025,1,6,"38,000",0, , ,84.96,1,1,11260,상봉동, 
길음뉴타운8단지(래미안),2010, , ,2025,1,18,"25,000",120, , ,59.99,12,1284,11290,길음동, 
보문파크뷰자이,2017, , ,2025,1,10,"2,000",85, , ,84.99,1,458,11290,보문동6가, 
돈암코오롱하늘채,2016, , ,2025,1,22,"57,700",0, , ,84.757,8,644,11290,돈암동, 
길음역금호어울림센터힐,2014, , ,2025,1,25,"63,000",0, , ,84.98,16,643,11290,돈암동, 
길음뉴타운9단지(래미안),2010, , ,2025,1,11,"75,000",0, , ,84.78,27,1286,11290,길음동, 
정릉꿈에그린,2015, , ,2025,1,19,"40,000",0, , ,52.88,2,1037,11290,정릉동, 
두산,1998, , ,2025,1,17,"35,000",0, , ,59.97,20,10,11290,석관동, 
래미안라센트,2011, , ,2025,1,21,"22,200",100, , ,59.98,16,134,11290,종암동, 
길음뉴타운2단지푸르지오,2005, , ,2025,1,24,"59,850",0, , ,114.73,1,1280,11290,길음동, 
두산,1998, , ,2025,1,24,"5,000",89, , ,54.55,21,10,11290,석관동, 
한일,1990, , ,2025,1,13,"19,000",0, , ,54.99,2,258-732,11305,미아동, 
래미안트리베라1단지,2010,25.02~27.02,신규,2025,1,18,"10,000",120, , ,114.98,4,813,11305,미아동, 
유경와이케이빌,2020,25.02~27.02,신규,2025,1,18,"15,800",0, , ,16.86,5,90-3,11305,수유동, 
경남아너스빌(1356-0),2003,25.03~27.03,신규,2025,1,19,"35,000",45, , ,84.873,5,1356,11305,미아동, 
송천센트레빌,2010,25.02~27.02,갱신,2025,1,2,"57,000",0,"55,000", ,84.965,15,461,11305,미아동,사용
꿈의숲롯데캐슬,2017,25.04~27.04,갱신,2025,1,25,"51,000",0,"49,000", ,84.98,7,4,11305,미아동, 
래미안트리베라1단지,2010,25.02~27.02,신규,2025,1,20,"63,000",0, , ,114.98,5,813,11305,미아동, 
에피소드수유838,2021,25.03~26.03,신규,2025,1,7,"1,000",88, , ,20.8075,14,740,11305,수유동, 
꿈의숲해링턴플레이스,2019,25.04~27.04,갱신,2025,1,14,"42,000",0,"40,000", ,59.36,7,1369,11305,미아동,사용
대우,2000,25.03~27.03,신규,2025,1,25,"37,000",0, , ,59.94,4,342,11305,우이동, 
창동주공2단지,1990, , ,2025,1,20,"15,015",0, , ,36.16,12,316,11320,창동, 
동아,1988, , ,2025,1,31,"40,000",0, , ,89.45,8,26,11320,창동, 
한양2,1988, , ,2025,1,6,"1,000",65, , ,35.1,9,59,11320,쌍문동, 
우성아파트1,1992, , ,2025,1,16,"36,000",0, , ,84.69,5,507,11320,방학동, 
태영데시앙,2003, , ,2025,1,18,"41,050",0, , ,84.995,5,819,11320,창동, 
금호1,1990, , ,2025,1,24,"5,000",90, , ,56.73,11,199-1,11320,쌍문동, 
수산트리플,2004, , ,2025,1,25,"35,000",0, , ,59.86,5,817,11320,창동, 
한양1,1986, , ,2025,1,24,"21,000",0, , ,50.58,1,388-33,11320,쌍문동, 
거성학마을아파트,1994, , ,2025,1,17,"50,000",0, , ,134.29,18,701-15,11320,방학동, 
금호1,1990, , ,2025,1,22,"28,500",0, , ,56.73,9,199-1,11320,쌍문동, 
"상계주공15(고층,공무원임대)",1988, , ,2025,1,2,"13,229",0, , ,41.3,3,624,11350,상계동, 
월계센트럴아이파크,2020, , ,2025,1,8,"50,000",0, , ,84.99,28,951,11350,월계동, 
"상계주공15(고층,공무원임대)",1988, , ,2025,1,24,"9,087",8, , ,41.3,13,624,11350,상계동, 
상계주공5(저층),1987, , ,2025,1,23,"1,000",47, , ,31.98,2,721,11350,상계동, 
노원센트럴푸르지오,2021, , ,2025,1,23,"13,204",34, , ,39.016,7,1355,11350,상계동, 
현대,2000, , ,2025,1,22,"5,000",140, , ,84.98,5,929,11350,월계동, 
은빛2단지,1998, , ,2025,1,11,"37,000",0, , ,59.92,10,1256,11350,상계동, 
건영2,1991, , ,2025,1,24,"38,000",0, , ,84.96,9,515-2,11350,중계동, 
태강아파트(아이파크),1999, , ,2025,1,15,"23,600",0, , ,49.6,2,81,11350,공릉동, 
한진한화그랑빌,2002, , ,2025,1,25,"10,000",130, , ,84.97,1,18,11350,월계동, 
센트레빌아스테리움시그니처,2024, , ,2025,1,8,"32,625",0, , ,59.9976,2,189-1,11380,역촌동, 
힐스테이트녹번,2019, , ,2025,1,31,230,230, , ,84.9,9,282,11380,녹번동, 
상림마을7단지아이파크(719~729동)BL1-13,2008, , ,2025,1,15,"55,000",0, , ,134.96,2,11,11380,진관동, 
불광롯데캐슬,2018, , ,2025,1,16,"40,000",0, , ,59.99,7,645,11380,불광동, 
래미안베라힐즈,2019, , ,2025,1,17,"57,500",0, , ,59.98,14,283,11380,녹번동, 
래미안베라힐즈,2019, , ,2025,1,25,"60,000",0, , ,84.95,1,283,11380,녹번동, 
센트레빌아스테리움시그니처,2024, , ,2025,1,25,"50,000",0, , ,84.9719,16,189-1,11380,역촌동, 
구파발10단지어울림(1001~1010동)장기전세BL3-4,2010, , ,2025,1,17,"34,466",0, , ,84.69,14,28,11380,진관동, 
센트레빌아스테리움시그니처,2024, , ,2025,1,31,"40,500",0, , ,59.9976,14,189-1,11380,역촌동, 
DMC우방,2000, , ,2025,1,18,"31,500",0, , ,59.91,3,244,11380,증산동, 
돈의문센트레빌,2011, , ,2025,1,10,"103,000",0, , ,114.98,7,261,11410,냉천동, 
디엠씨엘가,2017, , ,2025,1,20,"1,000",70, , ,13.03,12,387,11410,남가좌동, 
두산,1999, , ,2025,1,4,"38,850",0, , ,59.96,13,1009,11410,북아현동, 
돈의문센트레빌,2011, , ,2025,1,10,"103,000",0, , ,114.98,7,261,11410,냉천동, 
DMC래미안e편한세상,2012, , ,2025,1,22,"70,000",0, , ,84.95,3,481,11410,북가좌동, 
현대그린,1996, , ,2025,1,18,"35,700",0, , ,84.96,2,455,11410,홍제동, 
홍제현대,1992, , ,2025,1,18,"67,000",0, , ,119.32,8,331,11410,홍제동, 
홍제삼성래미안,2001, , ,2025,1,18,"38,325",0, , ,60,2,461,11410,홍제동, 
DMC래미안e편한세상,2012, , ,2025,1,11,"58,000",0, , ,59.97,12,481,11410,북가좌동, 
홍제삼성래미안,2001, , ,2025,1,24,"60,000",0, , ,84.33,2,461,11410,홍제동, 
대흥동태영아파트,1999, , ,2025,1,21,"10,000",200, , ,59.4,2,660,11440,대흥동, 
마포프레스티지자이,2021, , ,2025,1,13,"63,000",0, , ,59.8772,4,532,11440,염리동, 
서교동효성해링턴타워,2020, , ,2025,1,20,"13,760",73, , ,37.17,5,494,11440,서교동, 
더클래시,2022, , ,2025,1,14,"81,500",0, , ,84.98,17,804,11440,아현동, 
더클래시,2022, , ,2025,1,14,"61,950",0, , ,59.97,15,804,11440,아현동, 
마포래미안푸르지오3단지,2014, , ,2025,1,4,"57,700",0, , ,59.9236,3,777,11440,아현동, 
공덕자이,2015, , ,2025,1,10,"85,000",0, , ,84.99,8,800,11440,아현동, 
상암월드컵파크2단지,2003, , ,2025,1,17,"42,000",0, , ,49.9,13,1637,11440,상암동, 
상암월드컵파크5단지,2005, , ,2025,1,19,"5,000",250, , ,84.67,12,1658,11440,상암동, 
더클래시,2022, , ,2025,1,25,"56,700",0, , ,59.97,5,804,11440,아현동, 
신도신월1차,2004, , ,2025,1,7,"36,700",0, , ,80.19,7,1029,11470,신월동, 
목동신시가지2,1986, , ,2025,1,23,"30,000",260, , ,116.82,7,902,11470,목동, 
성원2,2000, , ,2025,1,4,"10,000",110, , ,59.9,5,709-2,11470,목동, 
목동신시가지4,1986, , ,2025,1,17,"130,000",0, , ,142.2,9,904,11470,목동, 
목동2차우성(1단지),2000, , ,2025,1,20,"2,271",0, , ,32.76,3,337-2,11470,신정동, 
목동힐스테이트,2016, , ,2025,1,22,"35,000",149, , ,84.93,10,1323,11470,신정동, 
목동신시가지7,1986, , ,2025,1,18,"5,000",160, , ,53.88,14,925,11470,목동, 
목동신시가지7,1986, , ,2025,1,22,"70,000",0, , ,66.6,9,925,11470,목동, 
목동신시가지9,1987, , ,2025,1,25,"45,000",0, , ,53.82,10,312,11470,신정동, 
금호어울림,2004, , ,2025,1,21,"73,000",0, , ,84.99,9,951,11470,목동, 
금호타운,1999, , ,2025,1,10,"1,000",35, , ,84.84,9,240-32,11500,염창동, 
디아인스,2018, , ,2025,1,21,"25,000",0, , ,23.93,14,899-31,11500,화곡동, 
마곡엠밸리10단지,2016, , ,2025,1,23,"52,185",0, , ,84.89,8,747,11500,마곡동, 
마곡우림필유아파트,2003, , ,2025,1,25,"49,000",0, , ,84.528,1,1467,11500,마곡동, 
"진로,미주아파트",1994, , ,2025,1,15,"20,000",140, , ,84.96,6,701,11500,등촌동, 
가양도시개발9-2단지,1993, , ,2025,1,11,"3,000",100, , ,39.6,5,1490,11500,가양동, 
방화4단지,1994, , ,2025,1,14,"5,000",180, , ,134.61,1,831,11500,방화동, 
현대3,1996, , ,2025,1,24,"45,000",0, , ,59.92,15,291,11500,염창동, 
청솔,1994, , ,2025,1,25,"39,000",0, , ,59.04,2,832,11500,방화동, 
마곡중앙하이츠아파트,1994, , ,2025,1,22,"36,000",0, , ,51.03,14,852,11500,방화동, 
대림2,2001, , ,2025,1,4,"49,500",0, , ,59.82,2,642,11530,신도림동, 
상우,1997, , ,2025,1,21,"34,000",0, , ,59.4,15,473,11530,개봉동, 
금강,1996, , ,2025,1,18,"26,770",0, , ,59.28,18,335,11530,오류동, 
한신,1988, , ,2025,1,25,"36,000",0, , ,59.88,8,642-9,11530,구로동, 
주공2,1987, , ,2025,1,6,"2,000",80, , ,41.3,3,685-223,11530,구로동, 
신도림아이파크,2015, , ,2025,1,3,"34,000",38, , ,57.0912,8,693,11530,신도림동, 
고척월드메르디앙,2011, , ,2025,1,18,"49,000",0, , ,84.93,2,343,11530,고척동, 
동아2,2000, , ,2025,1,22,"52,000",0, , ,59.595,3,644,11530,신도림동, 
우남퍼스트빌더센트럴,2020, , ,2025,1,21,"48,000",0, , ,84.9817,10,244,11530,항동, 
이화우성,1998, , ,2025,1,6,"37,000",0, , ,59.82,11,1260,11530,구로동, 
벽산,2000, , ,2025,1,16,"38,000",0, , ,114.84,2,1010,11545,시흥동, 
두산,1998, , ,2025,1,18,"35,000",0, , ,59.84,15,769,11545,가산동, 
독산주공14단지,1990, , ,2025,1,13,"17,000",0, , ,38.64,3,1088,11545,독산동, 
럭키남서울아파트,1981, , ,2025,1,13,"10,000",60, , ,49.75,8,1002-1,11545,시흥동, 
럭키남서울아파트,1981, , ,2025,1,4,"19,000",0, , ,41.26,4,1002-1,11545,시흥동, 
무지개,1980,25.01~27.01,신규,2025,1,2,"1,000",40, , ,53.79,5,109-1,11545,시흥동, 
시흥목련,1996,25.04~27.04,신규,2025,1,24,"24,000",0, , ,59.21,6,1009,11545,시흥동, 
우성,2001,25.01~27.01,갱신,2025,1,10,"33,000",5,"33,000", ,70.11,2,795-5,11545,시흥동,사용
가산지웰에스테이트2차,2018,25.04~26.04,신규,2025,1,20,"1,000",53, , ,14.12,11,143-6,11545,가산동, 
벽산,2000,25.02~27.02,신규,2025,1,7,"15,000",70, , ,114.84,1,1010,11545,시흥동, 
우성1,1986, , ,2025,1,25,"27,500",0, , ,64.4,4,365,11560,신길동, 
성원,1997, , ,2025,1,24,"51,000",0, , ,59.94,20,40,11560,당산동5가, 
신길파크자이,2022, , ,2025,1,25,"30,000",190, , ,84.99,24,4967,11560,신길동, 
"광장(1,2동)",1978, , ,2025,1,15,"100,000",0, , ,138.81,13,38-1,11560,여의도동, 
신동아,1987, , ,2025,1,25,"3,000",81, , ,53.37,4,777-1,11560,대림동, 
삼환,1999, , ,2025,1,24,"57,000",0, , ,59.91,17,76-1,11560,영등포동8가, 
신동아파밀리에,2008, , ,2025,1,8,"15,000",140, , ,59.4,10,457,11560,당산동1가, 
양평벽산블루밍,1990, , ,2025,1,18,"53,500",0, , ,71.04,8,23,11560,양평동2가, 
아크로타워스퀘어,2017, , ,2025,1,11,"86,600",0, , ,84.71,27,203,11560,영등포동7가, 
문래모아미래도,2017, , ,2025,1,7,"64,050",0, , ,84.75,3,67,11560,문래동5가, 
한강현대,1988, , ,2025,1,25,"60,000",0, , ,131.06,10,28,11590,흑석동, 
대방1차e-편한세상,2003, , ,2025,1,25,"20,000",170, , ,84.32,1,508,11590,대방동, 
롯데캐슬에듀포레,2018, , ,2025,1,11,"50,085",0, , ,84.9912,8,340,11590,흑석동, 
상도역롯데캐슬파크엘,2021, , ,2025,1,6,"71,000",0, , ,59.9818,10,904,11590,상도동, 
상도역롯데캐슬파크엘,2021, , ,2025,1,18,"35,000",150, , ,59.6984,7,904,11590,상도동, 
신동아,1993, , ,2025,1,25,"28,000",0, , ,46.75,9,481,11590,본동, 
사당자이,1999, , ,2025,1,25,"48,000",0, , ,59.89,4,1139,11590,사당동, 
사당롯데캐슬골든포레,2021, , ,2025,1,11,"50,000",70, , ,59.9775,7,1160,11590,사당동, 
사당롯데캐슬골든포레,2021, , ,2025,1,4,"10,000",240, , ,84.984,6,1160,11590,사당동, 
이수브라운스톤상도(527-0),2007, , ,2025,1,12,"23,000",88, , ,59.91,11,527,11590,상도동, 
벽산블루밍3차,2004, , ,2025,1,25,"42,000",0, , ,84.72,17,1720,11620,봉천동, 
e편한세상서울대입구2단지,2019, , ,2025,1,26,"50,000",75, , ,84.95,10,1730-1,11620,봉천동, 
현대(관악),1992, , ,2025,1,18,"42,000",0, , ,58.59,8,1000,11620,봉천동, 
관악산휴먼시아2단지,2008, , ,2025,1,31,"36,000",0, , ,59.96,5,1735,11620,신림동, 
두산,2000, , ,2025,1,25,"53,000",0, , ,59.92,13,1708,11620,봉천동, 
봉천우성,2000, , ,2025,1,18,"42,000",0, , ,84.96,18,1706,11620,봉천동, 
힐스테이트뉴포레,2022, , ,2025,1,22,"27,000",85, , ,44.9796,20,1746,11620,신림동, 
e편한세상서울대입구1단지,2019, , ,2025,1,5,"38,000",95, , ,84.95,10,1730,11620,봉천동, 
관악푸르지오,2004, , ,2025,1,18,"46,000",0, , ,59.58,6,1717,11620,봉천동, 
관악푸르지오,2004, , ,2025,1,18,"47,000",0, , ,59.58,17,1717,11620,봉천동, 
아크로리버파크,2016, , ,2025,1,21,"50,000",540, , ,84.97,8,2-12,11650,반포동, 
아크로리버파크,2016, , ,2025,1,6,"160,000",140, , ,84.97,8,2-12,11650,반포동, 
삼풍아파트,1988, , ,2025,1,6,"105,000",0, , ,130.73,14,1685,11650,서초동, 
우성아파트,1998, , ,2025,1,24,"85,000",30, , ,84.93,13,1326-17,11650,서초동, 
대우로얄빌라트,2002, , ,2025,1,31,"40,000",450, , ,221.8,2,1026-1,11650,방배동, 
서초포레스타3단지,2014, , ,2025,1,25,"68,000",0, , ,59.96,7,568,11650,신원동, 
반포써밋,2018, , ,2025,1,18,"190,000",0, , ,110.2586,27,1342,11650,반포동, 
서초2차e-편한세상,2005, , ,2025,1,9,"135,000",0, , ,116.745,3,1529,11650,서초동, 
신반포7,1980, , ,2025,1,19,"70,000",0, , ,107.29,3,65-32,11650,잠원동, 
신원아침도시(1420),2005, , ,2025,1,18,"67,200",0, , ,84.34,14,1420-18,11650,서초동, 
현대2,1986, , ,2025,1,11,"85,000",0, , ,84.81,7,654,11680,개포동, 
한보미도맨션1,1983, , ,2025,1,14,"82,950",0, , ,84.48,2,511,11680,대치동, 
현대8차(성수현대:91~95동),1980, , ,2025,1,4,"60,000",100, , ,111.5,11,481,11680,압구정동, 
은마,1979, , ,2025,1,10,"80,000",0, , ,76.79,14,316,11680,대치동, 
신동아,1992, , ,2025,1,22,"30,000",0, , ,33.18,13,736,11680,수서동, 
디에이치자이개포,2021, , ,2025,1,20,"70,000",240, , ,63.76,2,743,11680,일원동, 
삼성동센트럴아이파크,2018, , ,2025,1,10,"88,000",0, , ,49.96,23,188,11680,삼성동, 
한양1차(영동한양),1977, , ,2025,1,11,"42,500",0, , ,49.98,8,490,11680,압구정동, 
강남자곡 힐스테이트,2015, , ,2025,1,14,"50,000",0, , ,59.93,6,619,11680,자곡동, 
개포래미안포레스트,2020, , ,2025,1,18,"100,000",0, , ,59.92,14,1282,11680,개포동, 
우성,1986, , ,2025,1,22,"39,000",0, , ,43.79,9,96-1,11710,가락동, 
주공아파트 5단지,1978, , ,2025,1,15,"50,000",0, , ,82.51,14,27,11710,잠실동, 
주공아파트 5단지,1978, , ,2025,1,8,"20,000",120, , ,82.61,11,27,11710,잠실동, 
우성아파트,1981, , ,2025,1,18,"80,000",0, , ,96.65,6,101-1,11710,잠실동, 
파크하비오,2016, , ,2025,1,17,"59,000",100, , ,84.9725,5,618,11710,문정동, 
헬리오시티,2018, , ,2025,1,9,"60,000",180, , ,84.99,10,913,11710,가락동, 
가락미륭아파트,1986, , ,2025,1,20,"40,000",0, , ,83.58,3,138,11710,가락동, 
헬리오시티,2018, , ,2025,1,9,"60,000",180, , ,84.99,10,913,11710,가락동, 
가락금호아파트,1997, , ,2025,1,14,"42,000",0, , ,59.91,19,95-1,11710,가락동, 
리센츠,2008, , ,2025,1,17,"5,000",210, , ,27.68,20,22,11710,잠실동, 
고덕그라시움,2019, , ,2025,1,31,"72,000",0, , ,59.785,6,693,11740,고덕동, 
래미안힐스테이트고덕,2016, , ,2025,1,18,"76,000",0, , ,84.83,2,688,11740,고덕동, 
둔촌푸르지오,2010, , ,2025,1,26,"65,000",0, , ,84.92,14,630,11740,둔촌동, 
하나플러스ll,2004, , ,2025,1,8,"50,900",0, , ,84.67,1,601,11740,성내동, 
강변그대가리버뷰,2007, , ,2025,1,13,"63,000",0, , ,84.97,12,568,11740,천호동, 
고덕센트럴푸르지오,2020, , ,2025,1,24,"60,000",0, , ,59.09,16,210-1,11740,고덕동, 
현대4,1996, , ,2025,1,11,"48,000",0, , ,84.94,13,89,11740,둔촌동, 
선사현대아파트,2000, , ,2025,1,25,"47,000",0, , ,58.68,7,509,11740,암사동, 
강일리버파크7단지,2009, , ,2025,1,24,"48,000",0, , ,84.83,12,686,11740,강일동, 
아남1,1996, , ,2025,1,4,"45,500",0, , ,84.91,10,486,11740,고덕동, 
서희스타힐스3단지,2010, , ,2025,1,19,"25,500",0, , ,59.521,3,560,41111,율전동, 
화서역 우방 센트럴파크,1999, , ,2025,1,6,"27,000",0, , ,59.96,9,887-1,41111,정자동, 
연꽃마을벽산,2000,25.02~27.02,신규,2025,1,4,"20,000",50, , ,84.96,13,873-3,41111,정자동, 
보은맨션,1985,25.01~27.01,신규,2025,1,17,"1,000",60, , ,63.09,5,31-3,41111,정자동, 
청솔마을한라,2001,25.04~27.04,신규,2025,1,17,"27,000",0, , ,59.985,5,919,41111,정자동, 
연꽃마을벽산,2000,25.04~27.04,신규,2025,1,20,"35,000",0, , ,84.96,12,873-3,41111,정자동, 
화서역현대벽산,1999,25.02~26.02,신규,2025,1,20,"1,000",37, , ,59.95,8,886-1,41111,정자동, 
밤꽃마을뜨란채,2005,25.03~27.03,신규,2025,1,22,"33,000",0, , ,84.8,14,546,41111,율전동, 
화서역푸르지오더에듀포레,2009,25.03~27.03,신규,2025,1,23,"54,000",0, , ,148.75,15,333,41111,천천동, 
삼호진덕,1998,25.02~27.02,신규,2025,1,10,"1,000",100, , ,59.88,6,565,41111,천천동, 
성지,1994, , ,2025,1,31,"16,000",0, , ,49.875,12,1188-1,41113,권선동, 
힐스테이트호매실,2018, , ,2025,1,24,"11,480",74, , ,93.69,19,1393,41113,호매실동, 
삼환,1991, , ,2025,1,17,"2,000",61, , ,64.38,1,462,41113,구운동, 
벨섬시티,2017, , ,2025,1,2,"8,826",67, , ,84.94,19,1380,41113,호매실동, 
수원역한양아이클래스퍼스트,2022,25.01~26.01,신규,2025,1,9,"3,000",55, , ,15.3,8,421,41113,서둔동, 
쌍용더플래티넘오목천역,2023,25.02~27.02,갱신,2025,1,18,"26,250",0,"25,000", ,59.98,10,1192,41113,오목천동,사용
한양수자인파크원,2018,25.04~27.04,신규,2025,1,20,"44,000",0, , ,97.4287,12,1361,41113,호매실동, 
매탄권선역리버파크,2001,25.03~27.03,갱신,2025,1,18,"33,000",0,"33,000", ,59.81,4,1304,41113,권선동, 
대원신동아,1996,25.03~27.03,신규,2025,1,15,"1,800",97, , ,59.88,7,1274,41113,권선동, 
삼천리2차,1996,25.02~27.02,신규,2025,1,17,"13,000",0, , ,59.955,4,1238,41113,권선동, 
꽃뫼버들마을진흥,2002, , ,2025,1,18,"30,000",0, , ,59.96,4,706,41115,화서동, 
꽃뫼마을신동아,1999, , ,2025,1,14,"29,000",0, , ,59.76,17,684-2,41115,화서동, 
