kaptCode,기본정보.1.kaptName,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt,기본정보.1.kaptAddr,기본정보.1.kaptDongCnt,기본정보.1.kaptdaCnt,기본정보.1.hoCnt,기본정보.1.privArea,기본정보.1.bjdCode
A41383318,해솔마을3단지 운정현대,4148011700,31115,24000,84.993,7115,1274,경기도 파주시 목동동 2-110 해솔마을3단지 운정현대,16,1274,1274,116917.976,4148011700
A10023069,,4183040024,29775,22500,59.990525,7275,,,,,,,
A45973601,칠괴우림필유,4122010400,24300,17000,84.981225,7300,352,경기도 평택시 칠괴동 601 칠괴우림필유,6,352,352,29912.96,4122010400
A10026638,"가좌두산위브트레지움1,2단지아파트",2826011200,37475,30000,59.7825,7475,1757,"인천광역시 서구 가좌동 611 가좌두산위브트레지움1,2단지아파트",16,1757,1757,115341.76,2826011200
A40482901,석남 우림필유,2826011000,34500,27000,84.924,7500,288,인천광역시 서구 석남동 588 석남 우림필유,4,288,288,22128.1152,2826011000
A40473206,당하 푸르지오아파트,2826011400,34500,27000,73.827,7500,719,인천광역시 서구 당하동 1099-2 당하 푸르지오아파트,11,719,719,61012.267,2826011400
A48072912,한일유앤아이,4115010400,22500,15000,52.8786,7500,700,경기도 의정부시 신곡동 393-11 한일유앤아이,9,700,700,51867.3646,4115010400
A46273001,상대원삼익,4113310500,23500,15750,34.05,7750,264,경기도 성남중원구 상대원동 152-3 상대원삼익,2,264,264,8989.2,4113310500
A42984207,숲속마을,4139013000,26860.52632,19000,59.965,7860.526316,856,경기도 시흥시 장곡동 806 숲속마을,12,856,856,51301.06,4139013000
A45015003,비전경남아너스빌,4122011800,31900,24000,84.986,7900,903,경기도 평택시 비전동 931 비전경남아너스빌,19,903,903,79879.32,4122011800
A10026108,안성원곡제일오투그란데,4155038026,26400,18500,77.17,7900,797,경기도 안성시 원곡면 외가천리 228-12 안성원곡제일오투그란데,10,797,797,51366.61,4155038026
A46790505,현대,4150025023,30175,22000,84.99,8175,362,경기도 이천시 장호원읍 진암리 17-18 현대,4,362,362,28857.18,4150025023
A48270103,,4163011600,24200,16000,84.995,8200,,,,,,,
A44536022,병점역센트럴허브시티,4159011700,41340,33000,84.92626667,8340,1499,경기도 화성시 병점동 817 병점역센트럴허브시티,20,1499,1499,126740.527,4159011700
A40202203,용현성원상떼빌,2817710200,33422.22222,25000,84.9297,8422.222222,550,인천광역시 미추홀구 용현동 649 용현성원상떼빌,7,550,550,46711.335,2817710200
A40772301,계양1차하우스토리,2824510900,38500,30000,84.996,8500,257,인천광역시 계양구 박촌동 311 계양1차하우스토리,5,257,257,24381.065,2824510900
A10026093,용인기흥 우방아이유쉘 아파트,4146310100,45566.66667,37000,74.951,8566.666667,400,경기도 용인기흥구 신갈동 407 용인기흥 우방아이유쉘 아파트,7,400,400,25574.946,4146310100
A44072412,율전밤꽃마을뜨란채,4111113200,41664.28571,33000,84.8,8664.285714,1078,경기도 수원장안구 율전동 546 율전밤꽃마을뜨란채,13,1078,1078,86945.24,4111113200
A47286708,광릉숲금강펜테리움,4136025321,48766.66667,40000,84.9749,8766.666667,500,경기도 남양주시 진접읍 장현리 701 광릉숲금강펜테리움,10,500,500,42481.504,4136025321
