kaptCode,기본정보.1.kaptName,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt,기본정보.1.kaptAddr,기본정보.1.kaptDongCnt,기본정보.1.kaptdaCnt,기본정보.1.hoCnt,기본정보.1.privArea,기본정보.1.bjdCode
A10023851,태전경남아너스빌시그니처,4161011100,49800,32000,73.4666,17800,624,경기도 광주시 장지동 692-63 태전경남아너스빌시그니처,7,624,624,42540.2667,4161011100
A44271816,화서한신더휴,4111513800,47850,29925,69.51,17925,198,경기도 수원팔달구 화서동 769 화서한신더휴,3,198,198,15990.66,4111513800
A10024578,삼송역현대헤리엇아파트,4128111100,62961.11111,45000,59.955,17961.11111,364,경기도 고양덕양구 삼송동 293 삼송역현대헤리엇아파트,2,364,364,21823.96,4128111100
A40084106,영종힐스테이트,2811014500,39000,21000,83.011,18000,1628,인천광역시 중구 중산동 1887-2 영종힐스테이트,13,1628,1628,135612.822,2811014500
A10026788,동탄호수공원금강펜테리움센트럴파크2차,4159013500,50250,32000,69.9918,18250,908,경기도 화성시 산척동  동탄호수공원금강펜테리움센트럴파크2차,10,908,908,73501.3662,4159013500
A44816108,도담마을 한양수자인,4146510200,54275,36000,59.9756,18275,332,경기도 용인수지구 죽전동 1262 도담마을 한양수자인,4,332,332,19911.8992,4146510200
A10023355,안산푸르지오브리파크,4127310800,45366.66667,27000,49.7492,18366.66667,1714,경기도 안산단원구 원곡동 830 안산푸르지오브리파크,10,1714,1714,103251.0238,4127310800
A43003002,대림한숲타운,4117110300,46433.33333,28000,84.988,18433.33333,728,경기도 안양만안구 박달동 616-9 대림한숲타운,5,728,728,56497.724,4117110300
A44347019,영통벽적골롯데,4111710500,43107.40741,24480.55556,55.02481481,18626.85185,1040,경기도 수원영통구 영통동 971-1 영통벽적골롯데,6,1040,1040,53560,4111710500
A10024231,용인동백두산위브더제니스,4146311500,67860,49000,84.8682,18860,1187,경기도 용인기흥구 동백동 694 용인동백두산위브더제니스,10,1187,1187,93764.1829,4146311500
A10027349,역북1단지 우남퍼스트빌 아파트,4146110200,35600,16503,67.7628,19097,409,경기도 용인처인구 역북동 291-8 역북1단지 우남퍼스트빌 아파트,6,409,409,29013.6831,4146110200
A10022727,힐스테이트 평택 더퍼스트,4122010100,45198,26000,74.86,19198,1107,경기도 평택시 서정동 780 힐스테이트 평택 더퍼스트,17,1107,1107,84100.67,4122010100
A42374201,철산도덕파크타운2단지,4121010200,53296.66667,34000,49.972,19296.66667,1234,경기도 광명시 철산동 625 철산도덕파크타운2단지,6,1234,1236,55682.34,4121010200
A43584904,산본신안모란,4141010400,51270,31840,74.632,19430,716,경기도 군포시 산본동 1065-4 산본신안모란,8,716,716,52510.24,4141010400
A12009304,홍제유원하나,1141011100,57000,37500,72.34,19500,554,서울특별시 서대문구 홍제동 454 홍제유원하나,5,554,554,45054.5,1141011100
A10026028,안산 메트로타운 푸르지오 힐스테이트 아파트,4127310900,41040,21525,59.8179,19515,1600,경기도 안산단원구 선부동 1177 안산 메트로타운 푸르지오 힐스테이트 아파트,9,1600,1600,122223.6206,4127310900
A44340012,엘지동수원자이,4111710700,49535.71429,30000,79.0967,19535.71429,924,경기도 수원영통구 망포동 698 엘지동수원자이,7,924,924,91018.1392,4111710700
A44072212,화서역 우방 센트럴파크,4111113000,45058.33333,25500,59.97666667,19558.33333,1335,경기도 수원장안구 정자동 887-1 화서역 우방 센트럴파크,15,1335,1335,80068.02,4111113000
A41383307,책향기마을14단지우남퍼스트빌,4148011300,43580,24000,101.9776,19580,600,경기도 파주시 동패동 1711 책향기마을14단지우남퍼스트빌,12,600,600,66716.392,4148011300
A44033010,화서역푸르지오더에듀포레,4111113300,56100,36500,59.98,19600,2571,경기도 수원장안구 천천동 333 화서역푸르지오더에듀포레,33,2571,2571,247943.02,4111113300
A44816015,죽전동성1차,4146510200,59833.33333,39900,84.97,19933.33333,684,경기도 용인수지구 죽전동 501 죽전동성1차,9,684,684,58115.16,4146510200
A10027754,힐스테이트황금산아파트,4136011200,63466.66667,43500,59.99,19966.66667,1008,경기도 남양주시 다산동 3129-65 힐스테이트황금산아파트,19,1008,1008,89299.2,4136011200
A14207203,수유벽산,1130510300,65000,45000,84.92,20000,1454,서울특별시 강북구 수유동 205 수유벽산,13,1454,1454,132753.02,1130510300
A10022399,힐스테이트 봉담 프라이드시티,4159025322,50000,30000,84.4409,20000,2333,경기도 화성시 봉담읍 내리 882- 힐스테이트 봉담 프라이드시티,17,2333,2333,162891.7398,4159025322
A10024656,더샵 지제역 센트럴파크 2BL,4122011900,45930.30303,25909.09091,77.36610606,20021.21212,1674,경기도 평택시 동삭동 388-13 더샵 지제역 센트럴파크 2BL,18,1674,1674,121192.9777,4122011900
A44174611,호매실역 서희스타힐스,4111313400,51071.42857,30950,74.93,20121.42857,1318,경기도 수원권선구 금곡동 1081 호매실역 서희스타힐스,25,1318,1328,109044.57,4111313400
A10027347,역북2단지 우남퍼스트빌아파트,4146110200,36700,16503,67.7628,20197,505,경기도 용인처인구 역북동 282 역북2단지 우남퍼스트빌아파트,7,505,505,37141.3427,4146110200
A12201103,응암푸르지오,1138010700,58300,38000,59.58,20300,361,서울특별시 은평구 응암동 176 응암푸르지오,7,361,361,29519.22,1138010700
A43574502,산본동백우성,4141010400,56833.33333,36500,101.52,20333.33333,624,경기도 군포시 산본동 1059 산본동백우성,15,624,624,66559.68,4141010400
A42590614,푸르지오1차대우,4127310100,54366.66667,34000,71.1837,20366.66667,1008,경기도 안산단원구 고잔동 781 푸르지오1차대우,16,1008,1008,90572.2952,4127310100
A10024507,부평코오롱하늘채아파트,2823710700,61400,41000,72.9227,20400,922,인천광역시 부평구 부개동 88-2 부평코오롱하늘채아파트,7,922,922,58340.3553,2823710700
A10022381,일산푸르지오더센트럴,4128710500,62450,42000,84.3494,20450,400,경기도 고양일산서구 덕이동 205- 일산푸르지오더센트럴,3,400,400,31678.0204,4128710500
A40673002,송도풍림아이원4단지,2818510600,54452.5,34000,84.94,20452.5,504,인천광역시 연수구 송도동 2-9 송도풍림아이원4단지,13,504,504,45713.8436,2818510600
A43176201,비산한화꿈에그린,4117310100,59550,39000,59.995,20550,774,경기도 안양동안구 비산동 572 비산한화꿈에그린,10,774,774,68257.842,4117310100
A41183810,문촌마을3단지우성,4128710200,41800,21000,69.09,20800,504,경기도 고양일산서구 주엽동 32 문촌마을3단지우성,10,504,504,64747.4,4128710200
A15288002,구로이화우성,1153010200,58000,37000,59.82,21000,497,서울특별시 구로구 구로동 1260 구로이화우성,5,497,497,40645.13,1153010200
A10024217,힐스테이트학익아파트,2817710300,52100,31000,73.97826,21100,616,인천광역시 미추홀구 학익동  힐스테이트학익아파트,5,616,616,47916.4496,2817710300
A15101702,관악산휴먼시아3단지,1162010200,57133.33333,36000,59.975,21133.33333,512,서울특별시 관악구 신림동 1735-2 관악산휴먼시아3단지,4,512,512,20387.84,1162010200
A43776501,대원칸타빌1,4143010700,52677.77778,31500,59.924,21177.77778,394,경기도 의왕시 내손동 795 대원칸타빌1,4,394,394,23610.722,4143010700
A10023310,,4183025032,48533.33333,27350,84.8635,21183.33333,,,,,,,
A42690104,안산고잔7차푸르지오,4127110300,53250,32000,88.949,21250,1312,경기도 안산상록구 사동 1510 안산고잔7차푸르지오,18,1312,1327,140852.88,4127110300
A10027214,용인 구성역 효성해링턴플레이스,4146311300,52750,31500,61.93,21250,296,경기도 용인기흥구 마북동 651 용인 구성역 효성해링턴플레이스,6,296,296,20928.68,4146311300
A40523202,간석 래미안자이아파트,2820010200,56016.66667,34500,84.97777778,21516.66667,2432,인천광역시 남동구 간석동 939-1 간석 래미안자이아파트,28,2432,2432,233360.95,2820010200
A10025799,e편한세상 영종국제도시 오션하임,2811014500,43989.28571,22428.57143,81.40664643,21560.71429,1520,인천광역시 중구 중산동 1887-4 e편한세상 영종국제도시 오션하임,18,1520,1520,126261.284,2811014500
A12287204,이편한세상 수색 에코포레,1138010100,61583.33333,40000,59.895,21583.33333,976,서울특별시 은평구 수색동 415-1 이편한세상 수색 에코포레,12,976,976,84543.465,1138010100
A10025332,힐스테이트 태전2차 에듀포레 10블럭,4161011000,56116.66667,34500,80.92,21616.66667,394,경기도 광주시 태전동 13-3 힐스테이트 태전2차 에듀포레 10블럭,5,394,394,29566.46,4161011000
A43172905,한가람세경,4117310200,48750,27000,51.75,21750,1292,경기도 안양동안구 관양동 1589 한가람세경,11,1292,1292,65494.8,4117310200
A10026142,일산센트럴아이파크,4128510200,63790.90909,42000,84.98234545,21790.90909,1802,경기도 고양일산동구 중산동 1841 일산센트럴아이파크,12,1802,1802,144182.2755,4128510200
A44852405,성복역 아이파크,4146510700,67857.14286,46000,59.5915,21857.14286,584,경기도 용인수지구 상현동 857 성복역 아이파크,11,584,584,52611.3834,4146510700
A10023225,고산수자인디에스티지2단지,4115011300,61000,39000,84.9079,22000,1033,경기도 의정부시 산곡동 725 고산수자인디에스티지2단지,12,1033,1033,120451.1846,4115011300
A10027731,구리 더샵 그린포레1단지,4131010300,65000,43000,84.979,22000,236,경기도 구리시 인창동 713 구리 더샵 그린포레1단지,4,236,236,20141.263,4131010300
A10021053,힐스테이트몬테로이3단지,4146125321,45696.76923,23538.46154,84.20846154,22158.30769,1370,경기도 용인처인구 모현읍 왕산리 - 힐스테이트몬테로이3단지,13,1370,1370,111114.03,4146125321
A11076701,주상복합아남아파트,1111017100,65700,43500,50.49,22200,136,서울특별시 종로구 명륜2가 237 주상복합아남아파트,1,136,136,8819.68,1111017100
A47103203,대림한숲,4131010500,55022.58065,32741.93548,54.05129032,22280.64516,956,경기도 구리시 수택동 854 대림한숲,5,956,956,56959.68,4131010500
A44278301,대한대우,4111513500,52300,30000,76.63666667,22300,1293,경기도 수원팔달구 매산로2가 90 대한대우,28,1293,1293,130795.77,4111513500
A10025059,김포한강 호반베르디움 더 퍼스트,4157010400,53300,31000,101.953,22300,696,경기도 김포시 장기동 1865-4 김포한강 호반베르디움 더 퍼스트,11,696,696,70787.1948,4157010400
A15381706,금천현대,1154510200,52428.57143,30000,59.82,22428.57143,996,서울특별시 금천구 독산동 711-2 금천현대,10,996,996,71685.56,1154510200
A10026149,산내마을9단지 힐스테이트운정 아파트,4148011700,55589.65517,33155.17241,67.81895862,22434.48276,2998,경기도 파주시 목동동 1149 산내마을9단지 힐스테이트운정 아파트,25,2998,2998,209538.112,4148011700
A40484710,검암서해그랑블,2826010300,48785.71429,26285.71429,68.27935714,22500,950,인천광역시 서구 검암동 595-3 검암서해그랑블,11,950,950,73247.9516,2826010300
A10023719,의정부역센트럴자이앤위브캐슬,4115010100,58700,36000,59.762,22700,2473,경기도 의정부시 의정부동 724 의정부역센트럴자이앤위브캐슬,17,2473,2473,163318.409,4115010100
A47274205,별내KCC스위첸,4136011100,77833.33333,55000,116.8749667,22833.33333,679,경기도 남양주시 별내동 1072 별내KCC스위첸,9,679,679,77821.2921,4136011100
A41178504,일산두산위브더제니스,4128710300,73020,50000,130.52954,23020,2700,경기도 고양일산서구 탄현동 1640 일산두산위브더제니스,8,2700,2700,293120.668,4128710300
A13204508,창동주공2단지,1132010700,38225,15015,36.16,23210,750,서울특별시 도봉구 창동 316 창동주공2단지,5,750,750,32676.6,1132010700
A46571704,한솔솔파크,4145010800,70440,47000,84.99,23440,616,경기도 하남시 덕풍동 692 한솔솔파크,11,616,616,52937.14,4145010800
A44270402,화서역 블루밍푸른숲아파트,4111513800,55500,32000,84.114,23500,1744,경기도 수원팔달구 화서동 250-4 화서역 블루밍푸른숲아파트,31,1744,1744,143831.555,4111513800
A44874606,성복역리버파크,4146510700,57956.25,34300,59.76,23656.25,702,경기도 용인수지구 상현동 1 성복역리버파크,4,702,702,52310.775,4146510700
A10025916,의정부 롯데캐슬골드파크1단지,4115010100,58840,35000,84.96,23840,919,경기도 의정부시 의정부동 721 의정부 롯데캐슬골드파크1단지,8,919,920,69457.91,4115010100
A10024952,지축역 한림풀에버,4128110900,76000,52000,72.937,24000,1102,경기도 고양덕양구 지축동  지축역 한림풀에버,11,1102,1102,88489.972,4128110900
A43577404,당정대우푸르지오,4141010200,49000,25000,84.992,24000,565,경기도 군포시 당정동 1025-1 당정대우푸르지오,6,565,565,48016.0475,4141010200
A10026003,가천대역 두산위브 아파트,4113110200,63200,39000,59.9592,24200,503,경기도 성남수정구 태평동 50-1 가천대역 두산위브 아파트,8,503,503,31735.2264,4113110200
A13084803,전농우성,1123010400,60290.90909,36000,59.78,24290.90909,1234,서울특별시 동대문구 전농동 6 전농우성,15,1234,1234,107518.8,1123010400
A43070506,석수e편한세상,4117110200,60642.85714,36350,84.87,24292.85714,1908,경기도 안양만안구 석수동 182-2 석수e편한세상,20,1908,1908,163027.62,4117110200
A10025761,의왕역 푸르지오 라포레,4143010300,68450,44000,84.99623333,24450,1068,경기도 의왕시 삼동 38 의왕역 푸르지오 라포레,12,1068,1068,88594.0288,4143010300
A15776004,현대3,1150010100,69500,45000,59.92,24500,127,서울특별시 강서구 염창동 291 현대3,1,127,127,8942.08,1150010100
A15303205,관악벽산타운5단지,1154510300,64500,40000,114.84,24500,2810,서울특별시 금천구 시흥동 1013 관악벽산타운5단지,25,2810,2810,242926.6,1154510300
A42374402,e편한세상센트레빌,4121010300,95553.125,71000,84.979125,24553.125,2815,경기도 광명시 하안동 864 e편한세상센트레빌,27,2815,2815,254670.303,4121010300
A10023582,쌍용더플래티넘 오목천역,4111312900,52150,27300,59.987,24850,930,경기도 수원권선구 오목천동 482-2 쌍용더플래티넘 오목천역,10,930,930,64468.05,4111312900
A46474719,오포2차 e-편한세상,4161011500,85000,60000,160.8298,25000,135,경기도 광주시 신현동 1230 오포2차 e-편한세상,3,135,135,11469.6,4161011500
A44278207,화서주공5단지,4111513800,45166.66667,20000,49.99,25166.66667,386,경기도 수원팔달구 화서동 650 화서주공5단지,3,386,386,18406.14,4111513800
A10024888,삼송2차 원흥역 동원 로얄듀크 비스타,4128110400,75750,50500,84.9867,25250,312,경기도 고양덕양구 원흥동 635 삼송2차 원흥역 동원 로얄듀크 비스타,3,312,312,26515.8504,4128110400
A10023415,시흥장현예다음아르테 아파트,4139013000,62500,37000,84.38386667,25500,747,경기도 시흥시 장곡동 924 시흥장현예다음아르테 아파트,8,747,747,62964.7492,4139013000
A10023303,시흥금강펜테리움오션베이,4139013200,39760,14000,59.9879,25760,930,경기도 시흥시 정왕동 2737 시흥금강펜테리움오션베이,6,930,930,67418.963,4139013200
A10024360,한양수자인 성남마크뷰,4113310300,67800,42000,59.8423,25800,711,경기도 성남중원구 금광동 2600 한양수자인 성남마크뷰,7,711,711,38855.7237,4113310300
A15208007,고척월드메르디앙,1153010600,75000,49000,84.925,26000,180,서울특별시 구로구 고척동 343 고척월드메르디앙,4,180,180,15287.73,1153010600
A44384808,매탄위브하늘채,4111710100,73314.28571,47250,84.78602857,26064.28571,3391,경기도 수원영통구 매탄동 1352 매탄위브하늘채,35,3391,3391,294076.9627,4111710100
A42383705,철산한신,4121010200,66111.76471,40000,89.455,26111.76471,1568,경기도 광명시 철산동 367 철산한신,12,1568,1568,146215.04,4121010200
A10023630,힐스테이트푸르지오수원아파트,4111513300,66200,40058.82353,58.14705882,26141.17647,2586,경기도 수원팔달구 매교동 287-110 힐스테이트푸르지오수원아파트,33,2586,2586,165386.95,4111513300
A10025886,e편한세상송도아파트,2818510600,54446.875,28000,70.5618,26446.875,2708,인천광역시 연수구 송도동 319-1 e편한세상송도아파트,15,2708,2708,205676.4791,2818510600
A10027320,이편한세상광주역1단지,4161011200,63729.41176,37235.29412,84.91395294,26494.11765,441,경기도 광주시 역동 243 이편한세상광주역1단지,8,441,441,32396.6752,4161011200
A10025387,항동하버라인2단지,1153011200,67500,41000,59.86,26500,646,서울특별시 구로구 항동  항동하버라인2단지,6,646,646,42318.42,1153011200
A15886512,신정학마을1단지,1147010100,48525,22000,49.99,26525,639,서울특별시 양천구 신정동 1293 신정학마을1단지,6,639,639,33458.95,1147010100
A10023981,탑석센트럴자이아파트,4115010500,54320,27768,65.44907,26552,2571,경기도 의정부시 용현동 241 탑석센트럴자이아파트,16,2571,2571,180523.3093,4115010500
A13672102,삼선힐스테이트,1129011200,71700,45000,56.83,26700,377,서울특별시 성북구 삼선동2가 420 삼선힐스테이트,9,377,377,29637.83,1129011200
A15208008,개봉푸르지오,1153010700,85766.66667,59000,84.94,26766.66667,978,서울특별시 구로구 개봉동 492 개봉푸르지오,,978,0,78380.76,1153010700
A10023424,브라운스톤 부평,2823710500,47833.33333,21000,59.99,26833.33333,726,인천광역시 부평구 삼산동 221-7 브라운스톤 부평,7,726,726,45647.1601,2823710500
A42305001,광명소하휴먼시아6단지,4121010400,76866.66667,50000,84.95,26866.66667,1174,경기도 광명시 소하동 1324 광명소하휴먼시아6단지,18,1174,1174,55192.66,4121010400
A10026005,기흥역파크푸르지오아파트,4146310200,100000,73100,114.516,26900,768,경기도 용인기흥구 구갈동 663 기흥역파크푸르지오아파트,5,768,768,65574.267,4146310200
A10023192,힐스테이트 부평아파트,2823710200,67000,40000,84.99,27000,1409,인천광역시 부평구 십정동 642 힐스테이트 부평아파트,9,1409,1409,96998.53,2823710200
A44271812,화서꽃뫼버들마을엘지,4111513800,57000,30000,84.938,27000,665,경기도 수원팔달구 화서동 713 화서꽃뫼버들마을엘지,8,665,665,56483.77,4111513800
A44898204,버들치마을힐스테이트2차,4146510600,99000,72000,153.249,27000,689,경기도 용인수지구 성복동 759 버들치마을힐스테이트2차,10,689,689,100840.47,4146510600
A10023541,대성베르힐옥정더센트로,4163011400,47120,20000,104.5001,27120,804,경기도 양주시 옥정동 937 대성베르힐옥정더센트로,9,804,804,71194.6677,4163011400
A10026662,이편한세상 태전2차 1단지,4161011000,59075,31850,84.989,27225,322,경기도 광주시 태전동 695 이편한세상 태전2차 1단지,6,322,322,27361.0344,4161011000
A12085303,홍제한양,1141011100,69458.33333,42000,60.06,27458.33333,998,서울특별시 서대문구 홍제동 82 홍제한양,10,998,998,76611.98,1141011100
A10024601,DMC 두산위브 더 퍼스트,4128113200,59150,31500,59.94,27650,1059,경기도 고양덕양구 향동동 405 DMC 두산위브 더 퍼스트,9,1059,1059,63479.32,4128113200
A46571301,한솔리치빌5단지,4145010800,57714.28571,30000,84.8049,27714.28571,268,경기도 하남시 덕풍동 689 한솔리치빌5단지,4,268,268,21774.98,4145010800
A10026479,루원시티센트럴타운아파트,2826010900,48750,21000,74.98,27750,743,인천광역시 서구 신현동 306-1 루원시티센트럴타운아파트,10,743,743,55000.66,2826010900
A10025512,의왕백운 해링턴 플레이스 2단지,4143010600,78764.70588,51000,84.9404,27764.70588,534,경기도 의왕시 학의동  의왕백운 해링턴 플레이스 2단지,11,534,534,46222.9286,4143010600
A15178401,신림2차현대,1162010200,63000,35000,59.91,28000,112,서울특별시 관악구 신림동 551-9 신림2차현대,1,112,112,8752.8,1162010200
A13820007,문정시영,1171010800,43000,15000,25.65,28000,1316,서울특별시 송파구 문정동 145 문정시영,10,1316,1316,50581.44,1171010800
A12204004,북한산힐스테이트3차,1138010300,75016.66667,47000,59.985,28016.66667,1185,서울특별시 은평구 불광동 641 북한산힐스테이트3차,19,1185,1185,90668.06,1138010300
A10026136,운정신도시 센트럴푸르지오,4148011700,67014.81481,38722.22222,84.61184444,28292.59259,1956,경기도 파주시 목동동 1142 운정신도시 센트럴푸르지오,21,1956,1956,165132.0957,4148011700
A47175801,수택엘지원앙,4131010500,73650,45000,70.2,28650,824,경기도 구리시 수택동 854-2 수택엘지원앙,7,824,824,49466.74,4131010500
A44852602,만현마을2단지현대아이파크,4146510700,73800,45000,99.9125,28800,404,경기도 용인수지구 상현동 856 만현마을2단지현대아이파크,5,404,404,51103.2658,4146510700
A10027517,일산와이시티,4128510600,71368.75,42500,59.8975,28868.75,2404,경기도 고양일산동구 백석동 1237 일산와이시티,6,2404,2404,212416.66,4128510600
A10024404,안양씨엘포레자이아파트,4117110100,68514.28571,39571.42857,74.26572857,28942.85714,1394,경기도 안양만안구 안양동 19-1 안양씨엘포레자이아파트,13,1394,1394,91886.7002,4117110100
A10022353,송도 하늘채아이비원,2818510600,58974,30000,59.3215,28974,336,인천광역시 연수구 송도동 20-4 송도 하늘채아이비원,8,336,336,17360.064,2818510600
A10023931,검단신도시디에트르더펠리체아파트,2826011400,59080,30000,84.7748,29080,1279,인천광역시 서구 당하동 1318-6 검단신도시디에트르더펠리체아파트,15,1279,1279,112267.3616,2826011400
A10023690,검단 신안인스빌어반퍼스트,2826011400,52200,23100,84.7322,29100,1073,인천광역시 서구 당하동 1314 검단 신안인스빌어반퍼스트,12,1073,1073,94240.0606,2826011400
A10024584,그랑시티자이2차아파트,4127110300,67444.44444,38333.33333,86.10675556,29111.11111,2872,경기도 안산상록구 사동 1639 그랑시티자이2차아파트,11,2872,2872,250432.7745,4127110300
A10026254,루원제일풍경채아파트,2826010800,55000,25700,74.7683,29300,900,인천광역시 서구 가정동 603-1 루원제일풍경채아파트,9,900,900,71917.4766,2826010800
A10023517,부평두산위브더파크,2823710300,56041.66667,26666.66667,70.34830833,29375,799,인천광역시 부평구 산곡동 52-11 부평두산위브더파크,10,799,799,57729.4041,2823710300
A12009202,홍제삼성래미안,1141011100,67714.28571,38325,60,29389.28571,474,서울특별시 서대문구 홍제동 461 홍제삼성래미안,6,474,474,32648.58,1141011100
A10026783,수원 모아미래도센트럴타운1단지,4111313400,69500,40000,84.8763,29500,680,경기도 수원권선구 금곡동 1078 수원 모아미래도센트럴타운1단지,7,680,680,65042.6399,4111313400
A44678702,흥덕우미린레이크포레,4146311100,70500,41000,84.98,29500,486,경기도 용인기흥구 영덕동 963 흥덕우미린레이크포레,6,486,486,41300.01,4146311100
A10026309,갈매역 아이파크,4131010100,81766.66667,52000,84.93145,29766.66667,1196,경기도 구리시 갈매동 596 갈매역 아이파크,12,1196,1196,101651.4681,4131010100
A10024681,이편한세상 인창어반포레아파트,4131010300,80785.71429,51000,59.992,29785.71429,632,경기도 구리시 인창동 320-2 이편한세상 인창어반포레아파트,7,632,636,41069.914,4131010300
A10025014,그랑시티자이아파트,4127110300,57875,28000,72.4236,29875,3728,경기도 안산상록구 사동 1639-7 그랑시티자이아파트,14,3728,3728,314900.0415,4127110300
A43783103,인덕원센트럴푸르지오,4143010900,71941.66667,42000,84.96,29941.66667,408,경기도 의왕시 포일동 523 인덕원센트럴푸르지오,4,408,408,32562.16,4143010900
A10027189,보문파크뷰자이아파트,1129012800,80178.57143,50000,45.81,30178.57143,1186,서울특별시 성북구 보문동6가 198-45 보문파크뷰자이아파트,17,1186,1186,73895.41,1129012800
A14280502,미아동부센트레빌,1130510100,77375,47000,59.96,30375,480,서울특별시 강북구 미아동 474 미아동부센트레빌,8,480,480,36746.49,1130510100
A10025409,초지역메이저타운푸르지오메트로단지,4127310700,62142.30769,31742.30769,59.91218846,30400,1548,경기도 안산단원구 초지동 592 초지역메이저타운푸르지오메트로단지,10,1548,1548,96582.3308,4127310700
A15101503,신림2차푸르지오,1162010200,72500,42000,84.8098,30500,349,서울특별시 관악구 신림동 1736 신림2차푸르지오,8,349,349,30125.1879,1162010200
A10025031,송도 오션파크 베르디움,2818510600,61580,31000,84.8158,30580,1530,인천광역시 연수구 송도동 310-1 송도 오션파크 베르디움,10,1530,1530,126434.444,2818510600
A10024779,더샵송도마리나베이,2818510600,65395.16129,34645.16129,84.66478065,30750,3100,인천광역시 연수구 송도동 308-1 더샵송도마리나베이,25,3100,3100,259438.2328,2818510600
A12009303,홍제현대그린,1141011100,66500,35700,84.96,30800,240,서울특별시 서대문구 홍제동 455 홍제현대그린,2,240,240,20390.4,1141011100
A15213006,천왕이펜하우스1단지,1153011100,71200,40000,59.94,31200,314,서울특별시 구로구 천왕동 352 천왕이펜하우스1단지,6,314,314,18592.94,1153011100
A10026631,호반베르디움센트로하임아파트,4139013500,58518.18182,27300,84.89916364,31218.18182,1647,경기도 시흥시 배곧동 174 호반베르디움센트로하임아파트,20,1647,1647,133286.0224,4139013500
A10027336,래미안안양메가트리아,4117110100,75578.83212,44327.0073,71.44744526,31251.82482,4250,경기도 안양만안구 안양동 1393 래미안안양메가트리아,35,4250,4250,317673.07,4117110100
A43576808,산본래미안하이어스,4141010400,91765,60000,84.962,31765,2644,경기도 군포시 산본동 1240 산본래미안하이어스,29,2644,2644,263523.84,4141010400
A10025151,고덕국제신도시 제일풍경채아파트,4122012800,61800,30000,84.86,31800,1022,경기도 평택시 고덕동 1899-2 고덕국제신도시 제일풍경채아파트,11,1022,1022,92075.3,4122012800
A10025522,시흥은계호반써밋플레이스,4139010600,66500,34700,84.029,31800,816,경기도 시흥시 은행동 150 시흥은계호반써밋플레이스,5,816,816,78269.3273,4139010600
A12078201,인왕산현대,1141011100,73050,41000,59.93,32050,246,서울특별시 서대문구 홍제동 460-1 인왕산현대,1,246,246,8036.82,1141011100
A13203302,쌍문삼성래미안,1132010500,72500,40000,73.92,32500,407,서울특별시 도봉구 쌍문동 725 쌍문삼성래미안,10,407,407,32903.4029,1132010500
A12201002,백련산힐스테이트2차,1138010700,82560,50000,84.59,32560,893,서울특별시 은평구 응암동 760 백련산힐스테이트2차,11,893,893,68113.24,1138010700
A13113007,신내 데시앙포레,1126010600,71700,38850,84.94,32850,1896,서울특별시 중랑구 신내동 817 신내 데시앙포레,23,1896,1896,133451.74,1126010600
A13086101,제기안암골벽산,1123010300,70300,37300,59.94,33000,640,서울특별시 동대문구 제기동 153 제기안암골벽산,7,640,640,59920.92,1123010300
A15105008,관악파크푸르지오,1162010100,79637.03704,46500,59.58,33137.03704,363,서울특별시 관악구 봉천동 1728 관악파크푸르지오,7,363,371,28354.25,1162010100
A43182909,초원부영,4117310300,63165,30000,55,33165,1743,경기도 안양동안구 평촌동 896-6 초원부영,13,1743,1743,82318.8,4117310300
A10022983,,4183025021,36000,2700,59.9846,33300,,,,,,,
A10023717,매교역 푸르지오 SK VIEW 아파트,4111513300,74427.45098,40909.80392,64.92901961,33517.64706,3603,경기도 수원팔달구 매교동 209-14 매교역 푸르지오 SK VIEW 아파트,52,3603,3603,262705.42,4111513300
A10025828,다산펜테리움 리버테라스1차,4136011200,83536.36364,50000,84.91355455,33536.36364,944,경기도 남양주시 다산동 6215 다산펜테리움 리버테라스1차,8,944,944,80184.8624,4136011200
A10024930,더샵동천이스트포레아파트,4146510300,92388.88889,58800,78.2273,33588.88889,980,경기도 용인수지구 동천동 151-2 더샵동천이스트포레아파트,10,980,980,85953.9911,4146510300
A10023496,이편한세상 금빛그랑메종2단지,4113310300,76500,42600,59.91666667,33900,443,경기도 성남중원구 금광동 1003 이편한세상 금빛그랑메종2단지,4,443,443,27736.79,4113310300
A41206004,도래울센트럴더포레,4128110400,64350,30450,84.9325,33900,1193,경기도 고양덕양구 원흥동 317-9 도래울센트럴더포레,18,1193,1193,97625.59,4128110400
A10027114,이편한세상 반월나노시티역,4159012000,70400,36500,84.97,33900,1387,경기도 화성시 반월동 960 이편한세상 반월나노시티역,12,1387,1387,104974.54,4159012000
A42305006,광명신촌휴먼시아2단지,4121010400,79000,45000,84.84,34000,875,경기도 광명시 소하동 1366 광명신촌휴먼시아2단지,14,875,875,48930.11,4121010400
A10027511,갈매더샵나인힐스,4131010100,70800,36750,84.7845,34050,857,경기도 구리시 갈매동 665 갈매더샵나인힐스,9,857,857,70223.0365,4131010100
A12290901,백련산힐스테이트3차,1138010700,72400,38325,59.63,34075,748,서울특별시 은평구 응암동 761 백련산힐스테이트3차,10,748,748,61715.17,1138010700
A15370103,남서울힐스테이트,1154510300,88100,54000,84.687,34100,1764,서울특별시 금천구 시흥동 789 남서울힐스테이트,19,1764,1764,156037.197,1154510300
