kaptCode,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt
A10024378,4145011600,141333.33333333334,56000.0,109.3822,85333.33333333334,699.0
A10024382,4145011500,108825.0,59875.0,90.5295,48950.0,790.0
A10024388,4145011500,124333.33333333333,80000.0,99.6429,44333.33333333333,881.0
A10024404,4117110100,68514.28571428571,39571.42857142857,74.26572857142857,28942.857142857138,1394.0
A10024433,4129010800,174752.04081632654,89155.10204081633,64.24510204081632,85596.9387755102,2128.0
A10024452,4165025021,24356.25,18250.0,62.814499999999995,6106.25,
A10024479,4129011000,199428.57142857142,115000.0,84.98857142857142,84428.57142857142,1317.0
A10024488,1129013800,98545.45454545454,43050.0,59.1,55495.454545454544,1711.0
A10024498,4139010600,54575.0,37000.0,59.96,17575.0,1719.0
A10024507,2823710700,61400.0,41000.0,72.9227,20400.0,922.0
A10024511,4139011800,49557.142857142855,32750.0,59.95,16807.142857142855,614.0
A10024518,4167012200,37892.307692307695,28000.0,84.98347692307692,9892.307692307695,
A10024527,2817710400,49033.333333333336,32500.0,74.96536666666665,16533.333333333336,588.0
A10024562,1174010200,112555.55555555556,57825.0,59.12888888888889,54730.55555555556,656.0
A10024564,1168010300,234866.66666666666,100000.0,59.92,134866.66666666666,2296.0
A10024567,1156010800,140000.0,97000.0,84.8025,43000.0,185.0
A10024569,4145011500,113500.0,52500.0,73.811,61000.0,932.0
A10024573,2818510600,82750.0,40000.0,84.6566,42750.0,299.0
A10024578,4128111100,62961.11111111111,45000.0,59.955000000000005,17961.11111111111,364.0
A10024584,4127110300,67444.44444444444,38333.333333333336,86.10675555555555,29111.111111111102,2872.0
A10024601,4128113200,59150.0,31500.0,59.94,27650.0,1059.0
A10024613,2824510300,42800.0,31000.0,59.9887,11800.0,280.0
A10024615,1156013200,130644.44444444444,54600.0,59.903333333333336,76044.44444444444,1476.0
A10024631,4113110100,110678.26086956522,59467.391304347824,73.16652173913045,51210.86956521739,4089.0
A10024648,4136010200,49187.5,31500.0,62.987674999999996,17687.5,1008.0
A10024656,4122011900,45930.30303030303,25909.090909090908,77.36610606060607,20021.212121212124,1674.0
A10024681,4131010300,80785.71428571429,51000.0,59.992,29785.71428571429,632.0
A10024719,1141011000,128644.44444444444,62350.0,59.84040000000001,66294.44444444444,1226.0
A10024731,4161025322,40240.0,27000.0,74.97864000000001,13240.0,587.0
A10024739,4150034021,27305.0,26550.0,57.3766,755.0,298.0
A10024746,4180025321,12100.0,7300.0,42.18,4800.0,
A10024779,2818510600,65395.16129032258,34645.16129032258,84.6647806451613,30750.0,3100.0
A10024831,1138010700,103181.81818181818,49350.0,59.96136363636364,53831.81818181818,2569.0
A10024874,2826012200,73725.0,32000.0,84.967925,41725.0,898.0
A10024888,4128110400,75750.0,50500.0,84.9867,25250.0,312.0
A10024930,4146510300,92388.88888888889,58800.0,78.2273,33588.88888888889,980.0
A10024938,1141012000,107500.0,60000.0,59.98,47500.0,997.0
A10024952,4128110900,76000.0,52000.0,72.937,24000.0,1102.0
A10025010,1174010300,157637.28813559323,68385.59322033898,71.41338983050848,89251.69491525425,4066.0
A10025014,4127110300,57875.0,28000.0,72.4236,29875.0,3728.0
A10025031,2818510600,61580.0,31000.0,84.8158,30580.0,1530.0
A10025059,4157010400,53300.0,31000.0,101.95300000000002,22300.0,696.0
A10025071,2818510600,71785.71428571429,33500.0,84.96428571428571,38285.71428571429,889.0
A10025086,4128510400,121000.0,65000.0,84.4423,56000.0,297.0
A10025097,1135010200,95785.71428571429,50000.0,84.99,45785.71428571429,859.0
A10025100,4139010100,54130.0,37000.0,74.95,17130.0,1198.0
A10025151,4122012800,61800.0,30000.0,84.86,31800.0,1022.0
A10025169,4161011800,36150.0,25000.0,84.8989,11150.0,605.0
A10025170,4128110900,96000.0,47250.0,84.8637,48750.0,852.0
A10025174,1174010700,135250.0,75000.0,84.987675,60250.0,460.0
A10025188,4143010900,121976.92307692308,65000.0,84.98757692307692,56976.92307692308,1774.0
A10025241,1130510100,78312.5,42000.0,59.36,36312.5,1028.0
A10025256,2811014500,44000.0,28000.0,84.7363,16000.0,657.0
A10025263,1174010200,154888.88888888888,68063.49206349206,61.710476190476186,86825.39682539682,4932.0
A10025283,1129013900,90937.5,47500.0,59.9775,43437.5,1091.0
A10025311,4122010500,32287.5,21000.0,74.766,11287.5,1030.0
A10025332,4161011000,56116.666666666664,34500.0,80.92,21616.666666666664,394.0
A10025336,4117310400,101875.0,59375.0,75.59,42500.0,1174.0
A10025387,1153011200,67500.0,41000.0,59.86,26500.0,646.0
A10025399,2818510600,71553.33333333333,34000.0,84.65670666666666,37553.33333333333,2100.0
A10025409,4127310700,62142.307692307695,31742.30769230769,59.91218846153846,30400.000000000004,1548.0
A10025422,1162010100,117600.0,70000.0,84.964,47600.0,565.0
A10025428,1162010100,107750.0,63500.0,59.9,44250.0,206.0
A10025488,4155025021,25700.0,20000.0,72.7378,5700.0,976.0
A10025512,4143010600,78764.70588235294,51000.0,84.9404,27764.705882352937,534.0
A10025522,4139010600,66500.0,34700.0,84.029,31800.0,816.0
A10025533,1117011900,183625.0,95000.0,84.906375,88625.0,478.0
A10025618,4139010600,53000.0,40000.0,74.91,13000.0,835.0
A10025620,4115010400,45696.875,32000.0,72.93733125,13696.875,1561.0
A10025621,4111710700,83750.0,48000.0,75.93,35750.0,1783.0
A10025675,1168010300,320785.71428571426,114450.0,84.94085714285714,206335.71428571426,1957.0
A10025702,2811014600,37322.22222222222,25000.0,64.643,12322.222222222219,1604.0
A10025737,2820010200,36500.0,23625.0,59.92499999999999,12875.0,643.0
A10025754,1123010500,88640.0,40900.0,49.54,47740.0,802.0
A10025756,4136025629,51900.0,35000.0,84.8657,16900.0,356.0
A10025761,4143010300,68450.0,44000.0,84.99623333333334,24450.0,1068.0
A10025768,1159010200,163930.0,83000.0,84.96882,80930.0,893.0
A10025770,1159010500,239218.75,90300.0,84.91792500000001,148918.75,1073.0
A10025799,2811014500,43989.28571428572,22428.571428571428,81.40664642857143,21560.71428571429,1520.0
A10025825,4121010600,112428.57142857143,47600.0,70.6516,64828.571428571435,1005.0
A10025828,4136011200,83536.36363636363,50000.0,84.91355454545455,33536.36363636363,944.0
A10025830,4136011200,87844.44444444444,32033.333333333332,78.71946666666666,55811.11111111111,1283.0
A10025832,4127310100,65327.27272727273,30000.0,59.97137272727272,35327.27272727273,1152.0
A10025836,1138010200,106250.0,60000.0,59.99,46250.0,952.0
A10025846,1138010200,110928.57142857143,59642.857142857145,81.39142857142858,51285.71428571429,1305.0
A10025853,2818510600,93500.0,42000.0,64.28999999999999,51500.0,668.0
A10025867,1159010500,182785.7142857143,50085.0,84.98414285714286,132700.7142857143,545.0
A10025886,2818510600,54446.875,28000.0,70.5618,26446.875,2708.0
A10025916,4115010100,58840.0,35000.0,84.96,23840.0,919.0
A10025972,2826012200,76650.0,41000.0,84.98123333333334,35650.0,1163.0
A10025974,4161011700,31000.0,22000.0,84.9961,9000.0,1028.0
A10026003,4113110200,63200.0,39000.0,59.9592,24200.0,503.0
A10026005,4146310200,100000.0,73100.0,114.516,26900.0,768.0
A10026023,1147010200,105400.0,65000.0,59.984100000000005,40400.0,410.0
A10026028,4127310900,41040.0,21525.0,59.817899999999995,19515.0,1600.0
A10026093,4146310100,45566.666666666664,37000.0,74.951,8566.666666666664,400.0
A10026104,1123010500,103357.14285714286,47250.0,53.65642857142857,56107.142857142855,764.0
A10026108,4155038026,26400.0,18500.0,77.17,7900.0,797.0
A10026127,4159013500,42938.88888888889,30000.0,59.7731,12938.88888888889,1241.0
A10026136,4148011700,67014.81481481482,38722.22222222222,84.61184444444444,28292.5925925926,1956.0
A10026142,4128510200,63790.90909090909,42000.0,84.98234545454545,21790.90909090909,1802.0
A10026149,4148011700,55589.65517241379,33155.1724137931,67.81895862068966,22434.48275862069,2998.0
A10026178,4146125931,37990.90909090909,23636.363636363636,77.806,14354.545454545452,1784.0
A10026180,1123010400,118850.0,57000.0,59.98,61850.0,584.0
A10026232,1123010500,133800.0,72000.0,84.98777777777778,61800.0,1009.0
A10026254,2826010800,55000.0,25700.0,74.7683,29300.0,900.0
A10026301,4161010200,41025.0,27300.0,62.9836,13725.0,1425.0
A10026309,4131010100,81766.66666666667,52000.0,84.93145,29766.66666666667,1196.0
A10026405,4182032521,20500.0,16000.0,59.87,4500.0,
A10026455,4121010600,99655.55555555556,55000.0,59.68269999999999,44655.55555555556,1430.0
A10026479,2826010900,48750.0,21000.0,74.98,27750.0,743.0
A10026517,1114017400,146000.0,85000.0,84.9774,61000.0,199.0
A10026569,4139010600,40185.71428571428,28900.0,51.96,11285.714285714283,1025.0
A10026631,4139013500,58518.181818181816,27300.0,84.89916363636364,31218.181818181816,1647.0
A10026638,2826011200,37475.0,30000.0,59.7825,7475.0,1757.0
A10026662,4161011000,59075.0,31850.0,84.989,27225.0,322.0
A10026679,2818510600,71700.0,29400.0,59.98,42300.0,872.0
A10026716,4137010200,37955.0,26700.0,68.670595,11255.0,1099.0
A10026783,4111313400,69500.0,40000.0,84.8763,29500.0,680.0
A10026788,4159013500,50250.0,32000.0,69.9918,18250.0,908.0
A10026816,1156010800,170500.0,86600.0,84.69,83900.0,1221.0
A10026847,4139013500,37772.72727272727,21000.0,59.547599999999996,16772.727272727272,840.0
A10026879,1150010500,136850.0,70785.71428571429,76.05502857142858,66064.28571428571,1194.0
A10026881,1114017400,167442.3076923077,64076.92307692308,76.3477923076923,103365.38461538461,1341.0
A10026908,2824510600,45000.0,31000.0,59.99,14000.0,724.0
A10026920,4115010600,53746.42857142857,38000.0,84.9788,15746.428571428572,1567.0
A10026944,4113110800,144277.77777777778,57333.333333333336,70.46333333333332,86944.44444444444,1413.0
A10026947,1130510100,86312.5,51000.0,84.98,35312.5,615.0
A10026955,4163033021,19665.0,14200.0,59.986999999999995,5465.0,
A10027062,4157010800,40260.0,25030.0,69.99312,15230.0,662.0
A10027105,1111017700,218175.4716981132,101149.05660377358,81.04067924528302,117026.41509433961,589.0
A10027114,4159012000,70400.0,36500.0,84.97,33900.0,1387.0
A10027189,1129012800,80178.57142857143,50000.0,45.81,30178.571428571435,1186.0
A10027199,4157010400,49975.0,35000.0,84.96942,14975.0,3481.0
A10027205,1165010700,374000.0,76829.0,59.98,297171.0,1612.0
A10027207,1174010200,169142.85714285713,76000.0,84.83,93142.85714285713,3658.0
A10027209,4146311600,26200.0,24000.0,36.214,2200.0,254.0
A10027214,4146311300,52750.0,31500.0,61.93,21250.0,296.0
A10027227,1129010300,108000.0,57700.0,84.757,50300.0,629.0
A10027239,4163011400,35432.0,23000.0,58.981916,12432.0,
A10027281,4159013700,66000.0,27300.0,59.98894736842105,38700.0,1552.0
A10027289,1120010200,153110.0,75000.0,59.934000000000005,78110.0,2529.0
A10027320,4161011200,63729.41176470588,37235.294117647056,84.91395294117648,26494.117647058825,441.0
A10027336,4117110100,75578.83211678833,44327.00729927007,71.44744525547445,31251.824817518253,4250.0
A10027347,4146110200,36700.0,16503.0,67.7628,20197.0,505.0
A10027349,4146110200,35600.0,16503.0,67.7628,19097.0,409.0
A10027369,4113110800,138273.5294117647,69000.0,81.00794117647058,69273.5294117647,1540.0
A10027472,1159010200,126250.0,70000.0,84.8136,56250.0,202.0
A10027511,4131010100,70800.0,36750.0,84.7845,34050.0,857.0
A10027517,4128510600,71368.75,42500.0,59.8975,28868.75,2404.0
A10027618,4155035031,22480.0,19200.0,74.46632000000001,3280.0,2320.0
A10027653,2818510600,89500.0,48625.0,101.3056,40875.0,1230.0
A10027686,4145011600,121815.625,47250.0,84.98,74565.625,1673.0
A10027692,4113110800,126753.84615384616,65000.0,85.57523076923077,61753.846153846156,1380.0
A10027731,4131010300,65000.0,43000.0,84.979,22000.0,236.0
A10027754,4136011200,63466.666666666664,43500.0,59.99,19966.666666666664,1008.0
A10027800,1168010600,405375.0,152200.0,84.985,253175.0,1608.0
A10027851,1141011000,158040.0,83000.0,84.97889,75040.0,940.0
A10027884,2818510600,65900.0,30450.0,69.91,35450.0,358.0
A10027888,2818510600,80625.0,38750.0,84.73,41875.0,780.0
A10027911,4136025627,34950.0,26000.0,84.98352,8950.0,635.0
A10027920,1120010200,171088.88888888888,89400.0,84.9,81688.88888888888,1369.0
A10027951,1144010100,193481.81818181818,87500.0,84.99,105981.81818181818,201.0
A10027985,1168011200,107500.0,50000.0,59.93,57500.0,1339.0
A10028031,2820010100,44684.21052631579,30000.0,74.92210526315789,14684.210526315786,602.0
A10028166,4128111100,72300.0,27700.0,84.97666666666667,44600.0,627.0
A10045002,1114016200,131750.0,63000.0,59.89,68750.0,737.0
A10045404,1114016200,129919.23076923077,66153.84615384616,91.81230769230768,63765.38461538461,1598.0
A10078901,1114016200,110785.71428571429,65000.0,59.74,45785.71428571429,784.0
A11076701,1111017100,65700.0,43500.0,50.49,22200.0,136.0
A11081302,1111018700,130820.0,65000.0,84.858,65820.0,810.0
A11087602,1111017500,87000.0,44000.0,59.92,43000.0,416.0
A12009202,1141011100,67714.28571428571,38325.0,60.0,29389.28571428571,474.0
A12009303,1141011100,66500.0,35700.0,84.96,30800.0,240.0
A12009304,1141011100,57000.0,37500.0,72.34,19500.0,554.0
A12009305,1141011100,76750.0,42000.0,84.99,34750.0,768.0
A12013003,1141011900,116523.68421052632,62039.47368421053,77.71315789473684,54484.210526315794,3293.0
A12070101,1141010500,143750.0,77000.0,84.99,66750.0,561.0
A12078201,1141011100,73050.0,41000.0,59.93,32050.0,246.0
A12085303,1141011100,69458.33333333333,42000.0,60.06,27458.33333333333,998.0
A12102002,1144010200,143500.0,74000.0,84.939,69500.0,192.0
A12103002,1144010300,146208.33333333334,55650.0,59.97,90558.33333333334,366.0
A12104001,1144010400,121725.0,62000.0,79.83,59725.0,196.0
A12127004,1144012700,95875.0,44000.0,59.92,51875.0,657.0
A12175201,1144010100,172954.0,72584.0,65.868032,100370.0,0.0
A12181404,1144010400,120850.0,58800.0,84.95,62050.0,914.0
A12185602,1144011100,82666.66666666667,47250.0,57.44,35416.66666666667,192.0
A12201002,1138010700,82560.0,50000.0,84.59,32560.0,893.0
A12201103,1138010700,58300.0,38000.0,59.58,20300.0,361.0
A12204004,1138010300,75016.66666666667,47000.0,59.98500000000001,28016.66666666667,1185.0
A12204006,1138010300,88000.0,40000.0,59.99,48000.0,488.0
A12287204,1138010100,61583.333333333336,40000.0,59.895,21583.333333333336,976.0
A12290901,1138010700,72400.0,38325.0,59.63,34075.0,748.0
A12294102,1138011000,71100.0,31500.0,59.91,39600.0,429.0
A13003005,1123010500,111566.66666666667,51450.0,73.96,60116.66666666667,725.0
A13003006,1123010500,130563.33333333333,67000.0,84.98366666666668,63563.33333333333,2199.0
A13007001,1123010200,103000.0,57500.0,72.41,45500.0,338.0
A13010005,1123010600,94745.45454545454,49000.0,81.05,45745.454545454544,1786.0
A13071302,1123010400,118017.64705882352,56000.0,59.99,62017.647058823524,2397.0
A13084803,1123010400,60290.90909090909,36000.0,59.78,24290.90909090909,1234.0
A13086101,1123010300,70300.0,37300.0,59.94,33000.0,640.0
A13113007,1126010600,71700.0,38850.0,84.94,32850.0,1896.0
A13170401,1126010200,82000.0,47000.0,84.642,35000.0,504.0
A13203302,1132010500,72500.0,40000.0,73.92,32500.0,407.0
A13204205,1132010700,80000.0,41050.0,84.995,38950.0,958.0
A13204409,1132010700,89000.0,35777.77777777778,79.41222222222223,53222.22222222222,1981.0
A13204508,1132010700,38225.0,15015.0,36.16,23210.0,750.0
A13307202,1120010700,93125.0,52000.0,84.81,41125.0,636.0
A13380301,1120011000,151111.11111111112,85000.0,84.97777777777779,66111.11111111112,401.0
A13380302,1120011000,141657.8947368421,64000.0,59.98894736842105,77657.8947368421,847.0
A13402204,1174010900,138500.0,63000.0,84.99,75500.0,225.0
A13470503,1174010600,131000.0,65000.0,84.91142857142857,66000.0,800.0
A13520002,1168011200,154500.0,80000.0,84.89,74500.0,1304.0
A13522007,1168011500,89125.0,31000.0,34.44,58125.0,1403.0
A13583507,1168010600,286066.6666666667,80000.0,76.79,206066.6666666667,4424.0
A13592706,1168010100,223466.66666666666,95000.0,59.4,128466.66666666666,1050.0
A13610001,1129013300,47000.0,33000.0,59.98,14000.0,196.0
A13611003,1129013400,95000.0,59850.0,114.73,35150.0,434.0
A13611008,1129013400,109233.33333333333,65000.0,84.82,44233.33333333333,1497.0
A13671209,1129013500,113433.33333333333,56500.0,84.99,56933.33333333333,837.0
A13672102,1129011200,71700.0,45000.0,56.830000000000005,26700.0,377.0
A13684701,1129013300,52000.0,37000.0,59.79,15000.0,261.0
A13704404,1165010700,233333.33333333334,69000.0,71.49,164333.33333333334,1260.0
A13716003,1165011100,134600.0,70000.0,59.96,64600.0,482.0
A13778204,1165010300,130000.0,68000.0,59.97,62000.0,1082.0
A13778205,1165010300,151000.0,63000.0,84.61,88000.0,1251.0
A13779431,1165010600,263000.0,37000.0,75.79,226000.0,132.0
A13787102,1165010800,206500.0,135000.0,116.745,71500.0,159.0
A13790721,1165010600,210500.0,70000.0,107.29,140500.0,320.0
A13811206,1171011300,75833.33333333333,40500.0,49.79999999999999,35333.33333333333,1004.0
A13820007,1171010800,43000.0,15000.0,25.65,28000.0,1316.0
A13880701,1171010700,133750.0,40000.0,83.58,93750.0,435.0
A14003007,1117012900,370000.0,150150.0,133.79,219850.0,656.0
A14007002,1117012000,118250.0,48725.0,59.94,69525.0,1458.0
A14009001,1117012300,197750.0,70450.0,78.07249999999999,127300.0,867.0
A14010003,1117012200,143500.0,61882.5,84.98,81617.5,280.0
A14207203,1130510300,65000.0,45000.0,84.92,20000.0,1454.0
A14272313,1130510100,74000.0,57000.0,84.965,17000.0,376.0
A14280502,1130510100,77375.0,47000.0,59.96,30375.0,480.0
A14319311,1121510500,142333.33333333334,77000.0,84.93,65333.33333333334,625.0
A14320302,1121510300,137333.33333333334,65000.0,84.76,72333.33333333334,354.0
A14320304,1121510300,126426.08695652174,56217.391304347824,63.103043478260865,70208.69565217392,1592.0
A14376501,1121510500,126500.0,68000.0,83.31,58500.0,185.0
A14383203,1121510300,140583.33333333334,60000.0,84.92,80583.33333333334,421.0
A15004201,1156011200,34900.0,21600.0,31.73,13300.0,536.0
A15080507,1156011400,110566.66666666667,40000.0,59.78333333333333,70566.66666666667,976.0
A15083602,1156012100,86137.5,47000.0,58.96,39137.5,367.0
A15101503,1162010200,72500.0,42000.0,84.8098,30500.0,349.0
A15101702,1162010200,57133.333333333336,36000.0,59.975,21133.333333333336,512.0
A15105008,1162010100,79637.03703703704,46500.0,59.57999999999999,33137.03703703704,363.0
A15105602,1162010100,88820.0,42000.0,84.96,46820.0,717.0
A15178201,1162010100,80937.5,46232.8125,74.0525,34704.6875,2105.0
A15178202,1162010100,81500.0,42000.0,84.72,39500.0,281.0
A15178401,1162010200,63000.0,35000.0,59.91,28000.0,112.0
A15190705,1162010200,100000.0,64000.0,114.84,36000.0,1456.0
A15205513,1153010200,103730.0,52500.0,84.87,51230.0,1252.0
A15208003,1153010600,91000.0,45675.0,84.994,45325.0,600.0
A15208007,1153010600,75000.0,49000.0,84.92500000000001,26000.0,180.0
A15208008,1153010700,85766.66666666667,59000.0,84.94,26766.66666666667,978.0
A15213006,1153011100,71200.0,40000.0,59.94,31200.0,314.0
A15288002,1153010200,58000.0,37000.0,59.82,21000.0,497.0
A15303204,1154510300,49288.88888888889,32222.222222222223,90.44,17066.666666666668,1288.0
A15303205,1154510300,64500.0,40000.0,114.83999999999999,24500.0,2810.0
A15370103,1154510300,88100.0,54000.0,84.68700000000001,34100.0,1764.0
A15375809,1154510200,35033.333333333336,22000.0,43.873333333333335,13033.333333333336,840.0
A15381706,1154510200,52428.57142857143,30000.0,59.82,22428.571428571428,996.0
A15603008,1159010200,145500.0,64575.0,84.8916,80925.0,882.0
A15608003,1159010600,143500.0,61425.0,59.9992,82075.0,680.0
A15609005,1159010700,97533.33333333333,51525.0,59.84,46008.33333333333,1152.0
A15609006,1159010700,72625.0,28000.0,46.75,44625.0,333.0
A15609502,1159010700,81888.88888888889,47100.0,59.90222222222222,34788.88888888889,719.0
A15679107,1159010500,173400.0,63000.0,84.92377777777777,110400.0,655.0
A15685702,1159010500,177000.0,55714.28571428572,75.48714285714286,121285.71428571429,960.0
A15722009,1150010500,136000.0,52185.0,84.89,83815.0,237.0
A15722106,1150010900,91500.0,49000.0,84.528,42500.0,320.0
A15728006,1150010600,86471.42857142857,42850.0,59.839999999999996,43621.428571428565,919.0
A15776004,1150010100,69500.0,45000.0,59.92,24500.0,127.0
A15777501,1150010900,51044.444444444445,36000.0,51.03,15044.444444444445,930.0
A15780401,1150010400,102960.0,50000.0,84.98,52960.0,642.0
A15780905,1150010400,77055.55555555556,31000.0,49.5,46055.55555555556,1476.0
A15805403,1147010200,125966.66666666667,73000.0,84.99,52966.66666666667,371.0
A15807002,1147010100,71787.5,37000.0,59.73,34787.5,997.0
A15886512,1147010100,48525.0,22000.0,49.99,26525.0,639.0
A40010302,2811012800,20928.571428571428,19500.0,59.904,1428.5714285714275,1330.0
A40084106,2811014500,39000.0,21000.0,83.011,18000.0,1628.0
A40202203,2817710200,33422.22222222222,25000.0,84.9297,8422.222222222219,550.0
A40204001,2817710300,9500.0,7900.0,15.987,1600.0,432.0
A40204109,2817710300,28037.5,23458.333333333332,74.10583333333334,4579.166666666668,1480.0
A40302005,2823710300,17500.0,14000.0,55.12,3500.0,295.0
A40309002,2823710500,42250.0,31000.0,84.91,11250.0,393.0
A40470311,2826012200,52250.0,36500.0,92.43,15750.0,616.0
A40471918,2826012200,59250.0,23100.0,101.9859,36150.0,754.0
A40473206,2826011400,34500.0,27000.0,73.827,7500.0,719.0
